movie_id,title,tags,poster_url,language
19404,Dilwale Dulhania Le Jayenge,"raj is a rich, carefree, happy-go-lucki second gener nri. simran is the daughter of chaudhari baldev singh, who in spite of be an nri is veri strict about adher to indian values. simran ha left for india to be marri to her childhood fiancé. raj leav for india with a mission at hi hands, to claim hi ladi love under the nose of her whole family. thu begin a saga. comedi drama romanc family'sdailylif familyhistori love-haterelationship familydrama loveaffair kajol shahrukhkhan amrishpuri adityachopra",https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,hi
1625582,The Kerala Story 2,"three young indian women across differ state choos love over tradition, onli to becom trapped. their parallel live show how romanc and rebellion transform into control and silence, turn love into a weapon that destroy freedom. crime drama ulkagupta aishwaryaojha aditibhatia kamakhyanarayansingh",https://image.tmdb.org/t/p/w500/97jAFQcAnspd416cupbAbGMNT9z.jpg,hi
20453,3 Idiots,"rascal. joker. dreamer. genius... you'v never met a colleg student quit like ""rancho."" from the moment he arriv at india' most prestigi university, rancho' outlandish scheme turn the campu upsid down—along with the live of hi two newfound best friends. together, they make life miser for ""virus,"" the school’ uptight and heartless dean. but when rancho catch the eye of the dean' daughter, viru set hi sight on flunk out the ""3 idiots"" onc and for all. drama comedi challeng middleclass slapstickcomedi comingofag flashback teacher friend engin univers subjectivecamera aamirkhan r.madhavan sharmanjoshi rajkumarhirani",https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,hi
781732,Animal,the harden son of a power industrialist return home after year abroad and vow to take bloodi reveng on those threaten hi father' life. action crime drama fistfight shootout heldatgunpoint machinegun handtohandcombat actionhero fathersonconflict complexrelationship ranbirkapoor rashmikamandanna anilkapoor sandeepreddyvanga,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,hi
1241634,Saiyaara,"two artist soul find harmoni through music despit their contrast worlds. as feel deepen, age and circumst challeng their undeni bond. romanc drama music romant romancemus youngadultrom ahaanpanday aneetpadda alamkhan mohitsuri",https://image.tmdb.org/t/p/w500/hQBIsi3ZfBYEayMc3GhcEmJVkss.jpg,hi
1241693,Do Deewane Seher Mein,"two social awkward millenni in mumbai find love while struggl with self-acceptance. as they battl insecur and societ pressure, their journey take them from citi chao to mountain serenity. romanc drama comedi siddhantchaturvedi mrunalthakur ilaarun raviudyawar",https://image.tmdb.org/t/p/w500/pJu9oL6ElIaajAjwgoKyUCM319H.jpg,hi
1416391,Toaster,murder and chao erupt when a miser becom obsess with a toaster he gave as a wed gift. comedi crime action rajkummarrao sanyamalhotra archanapuransingh vivekdaschaudari,https://image.tmdb.org/t/p/w500/8bsa86WKaQ9plaYN7rd9oGwmyVV.jpg,hi
1142921,Tere Ishk Mein,"a psycholog student attempt to rehabilit a volatil young man, befor evolv into a doom romance. romanc drama dhanush kritisanon prakashraj aanandl.rai",https://image.tmdb.org/t/p/w500/7FsHlW9z7gDhDE4EXAE2WcXUVQj.jpg,hi
360814,Dangal,"dangal is an extraordinari true stori base on the life of mahavir singh and hi two daughters, geeta and babita phogat. the film trace the inspir journey of a father who train hi daughter to becom world class wrestlers. drama famili comedi smalltown strongwoman sport parentchildrelationship empower abusivefath femin wrestl train biographi aamirkhan fatimasanashaikh sanyamalhotra niteshtiwari",https://image.tmdb.org/t/p/w500/jLiA1WW3kL1K9lYfYmVj57RD74N.jpg,hi
1308553,Hai Jawani Toh Ishq Hona Hai,"when jass leav hi marriag over conflict priorities, a new romanc abroad is upend by shock revelations, forc him to confront love, loyalty, and the true mean of commitment. romanc comedi varundhawan mrunalthakur poojahegd daviddhawan",https://image.tmdb.org/t/p/w500/vmlJvz6qVzYgei2V74GvnmcuQfW.jpg,hi
1190511,Sitaare Zameen Par,a disgrac basketbal coach is given the chanc to coach a team of player who are intellectu disabl as part of commun services. gulshan ha apprehens at first and feel out of place but soon realiz they just might have what it take to make it to the nation championships. comedi drama basketbal remak basedonmovi intellectualdis sportsdrama familysportsdrama sportscomedi aamirkhan geneliad'souza dollyahluwalia r.s.prasanna,https://image.tmdb.org/t/p/w500/adYjCJGSNiL7CIaDW3g0Bcg7r2Z.jpg,hi
1275574,O'Romeo,"what fate await a stoneheart gangster and bloodthirsti womanis when true love claim him, helpless and unguarded? a gang war that shake the entir underworld and crime syndic to their veri roots. a forbidden love; the tale of an unrequit passion. romanc action drama basedonnovelorbook basedontruestori organizedcrim gangwarfar romanticthril shahidkapoor triptiidimri avinashtiwari vishalbhardwaj",https://image.tmdb.org/t/p/w500/aTnIGrfVv03FIDsNDuabNsp9yFM.jpg,hi
7508,Like Stars on Earth,"ishaan awasthi is an eight-year-old whose world is fill with wonder that no one els seem to appreciate. colours, fish, dogs, and kite don't seem import to the adults, who are much more interest in thing like homework, marks, and neatness. ishaan cannot seem to get anyth right in class; he is then sent to board school, where hi life chang forever. drama jealousi parentchildrelationship boardingschool painter father dyslexia teacher littleboy india childhood darsheelsafari aamirkhan tiscachopra aamirkhan",https://image.tmdb.org/t/p/w500/puHRt6Raovm5ujGCdwLWvRv4NHU.jpg,hi
208036,Ramaiya Vastavaiya,a wealthi nri fall hard for a countri girl dure a visit to hi homeland. romanc action comedi villagelif nri olderbrotheryoungersist shrutihaasan girishkumar sonusood prabhudeva,https://image.tmdb.org/t/p/w500/iSVYJE0Hz4g0SEAGKXA84yhcfPT.jpg,hi
872906,Jawan,"an emot journey of a prison warden, driven by a person vendetta while keep up to a promis made year ago, recruit inmat to commit outrag crime that shed light on corrupt and injustice, in an attempt to get even with hi past, and that lead him to an unexpect reunion. action thriller reveng vigilant polit admir shahrukhkhan nayanthara vijaysethupathi atle",https://image.tmdb.org/t/p/w500/mGiw8zAmHQwKBXDG1n7mQpT5kK1.jpg,hi
1196946,Ikkis,"second lieuten and india' youngest param vir chakra recipient, arun khetarpal, gave hi life fight for hi battalion and the countri dure the 1971 battl of basantar. ikki also take a reflect look at the futil of war through the eye of khetarpal' father, who visit hi ancestr home in sargodha and alma mater for reunion, which now happen to be in post-partit pakistan, 30 year later. histori war drama 1970 basedontruestori perioddrama historicaldrama indiapakistanwar wardrama basedonrealperson biographicaldrama dharmendra jaideepahlawat agastyananda sriramraghavan",https://image.tmdb.org/t/p/w500/8PWu0V10nMqG5SrA13wLRXTD2fH.jpg,hi
1196364,Thamma,"two destin lover battl supernatur forces, famili ties, and natur itself to defend their forbidden romanc in a mystic world where ancient power and propheci threaten to keep them apart. horror comedi maddockhorrorcomedyuniverse(mhcu) ayushmannkhurrana rashmikamandanna nawazuddinsiddiqui adityasarpotdar",https://image.tmdb.org/t/p/w500/udkbDwBbysCGEydt0FHnl9dVO2k.jpg,hi
1109086,War 2,"year ago agent kabir went rogue, becam india’ greatest villain ever. as he descend further into the deepest shadows... india send it deadliest, most lethal agent after him, agent vikram a special unit offic who is more than kabir’ equal and a relentless termin driven by hi own demons, determin to put a bullet into kabir’ skull. action thriller n.t.ramaraojr. hrithikroshan kiaraadvani ayanmukerji",https://image.tmdb.org/t/p/w500/fxxVbjhIOl8ZPS69dH8xeeuxvmh.jpg,hi
1306845,Jaat,"a mysteri stranger journey to a remot town control by a callou crime lord, with one violent mission — restor justic to it people. crime action thriller sunnydeol randeephooda saiyamikh gopichandmalineni",https://image.tmdb.org/t/p/w500/guTflsCTgLNqTbpHTi9gJANk1Rf.jpg,hi
1262547,Subedaar,"haunt by loss and drift away from hi daughter, a retir subedaar arjun maurya’ newli found civilian life is jolt by one reckless act. as old wound reopen, he must summon the warrior within to face a new kind of war - one that hit too close to hi heart. action crime drama anilkapoor radhikkamadan adityaraw sureshtriveni",https://image.tmdb.org/t/p/w500/gKn63ZWEVK66OaC1svlI7g6r9ah.jpg,hi
192558,Aashiqui 2,"a young woman meet a fail musician who launch her sing career, but their relationship is doom when peopl assum he' with her for her fame and fortune. drama romanc artist music tragiclov adityaroykapur shraddhakapoor shaadrandhawa mohitsuri",https://image.tmdb.org/t/p/w500/lMblq8xcQIRRIVdaMg1XC283gU0.jpg,hi
784651,Fighter,"as india face a milit attack in kashmir, the country’ best combat aviat join forc under a reckless yet brilliant squadron leader to form 'air dragons', face mortal danger and their inner demons. action drama helicopt airplan fighterpilot helicopterpilot kashmirconflict behindenemylin jetfighterpilot militari retali armedconflict hrithikroshan deepikapadukon anilkapoor siddharthanand",https://image.tmdb.org/t/p/w500/zqFuriKJ6pYDvf72kXNLONnuE8k.jpg,hi
1160018,Kill,"when an armi commando find out hi true love is engag against her will, he board a new dehli-bound train in a dare quest to derail the arrang marriage. but when a gang of knife-wield thiev begin to terror innoc passeng on hi train, the commando take them on, one by one. action crime thriller drama train onemanarmi relationship trainrobberi aggress actionhero highoctan lakshyalalwani raghavjuy tanyamaniktala nikhilnageshbhat",https://image.tmdb.org/t/p/w500/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg,hi
824744,Shiddat,"love-struck jaggi can cross the seven sea for hi dream girl, kartika. even if it mean stop her wed as he doesn't want to be friend-zoned. romanc drama mohitraina radhikkamadan sunnykaush kunaldeshmukh",https://image.tmdb.org/t/p/w500/dEXxQAspQzZsw9VEiuVWRDJnvvy.jpg,hi
1214835,De De Pyaar De 2,"when ashish meet hi girlfriend' parent for the first time, their age differ spark outrag and a madcap plot to drive him out of her life. comedi romanc ajaydevgn rakulpreetsingh r.madhavan anshulsharma",https://image.tmdb.org/t/p/w500/g3J7r2t3L9HEgyWMX0Fki04Swtu.jpg,hi
1434543,Ek Deewane Ki Deewaniyat,"when vikramaditya, a power politician fall for a strong-wil superstar adaa , their passion romanc quickli spiral into a danger game of obsess and pride. as emot clash and temper rise, adaa make a life-alt choice. romanc drama thriller harshvardhanran sonambajwa shaadrandhawa milapzaveri",https://image.tmdb.org/t/p/w500/eQGzsELM0n6FOngNRGEIx9nqDwV.jpg,hi
1435606,Assi,"when parima, a school teacher in delhi, is gang-rap on her way home late at night after an offic party, raavi, a prosecut lawyer, fight tooth and nail to help her get justice. but when eighti sexual assault case are report in india everi singl day, regardless of age group, ethnicity, time, or place, and onli four go to trial, what doe justic realli mean? crime drama thriller courtroomdrama investigativethril taapseepannu kanikusruti mohammedzeeshanayyub anubhavsinha",https://image.tmdb.org/t/p/w500/wBs2SZKKaYZJDmq01maIjdZwUT0.jpg,hi
